capital_invertido;provincia;gastos_por_prestamos;deudas_corto_plazo;patrimonio_empresa;total_activo;numero_empleados;ventas_netas;canal_principal;cantidad_canales_venta;vende_por_catalogo;vende_con_comisionistas;vende_a_domicilio;vende_en_linea;vende_en_ferias;vende_en_maquinas_venta;vende_en_tienda;otros_medios_venta;vende_por_telefono;publicidad;uso_de_software;sobrevive_2años
120254;1502;529160;862447;1704193;2566640;33;2823611;9;0;False;False;False;False;False;False;False;False;False;True;True;True
1926500;1501;2497747.75;3004452;3661144;10137014.5;89;7600749;2;1;False;False;True;False;False;False;False;False;False;True;False;True
4800;1501;1073637;80713;2825056;2915072;19;6753445;6;1;False;False;False;True;False;False;False;False;False;True;True;True
843190;1508;889629;3079245;1753180;4840566;19;5782884;2;2;False;False;True;False;False;False;False;False;True;False;False;True
867500;1501;885821;2417221;2010147;7851611;13;9029388;1;3;False;True;False;False;False;False;True;False;True;True;True;True
85000;1503;601014;1447856;1422900;2870756;11;2924057;1;1;False;False;False;False;False;False;True;False;False;True;False;True
800000;1501;173482;0;1399791;2212842;11;2312666;1;1;False;False;False;False;False;False;True;False;False;False;False;True
73000;1501;222680;1045202;718791;1763993;6;2392014;4;1;False;True;False;False;False;False;False;False;False;False;True;True
1370437;1501;2422598;1063764;3369362;6797997;16;9009599;3;1;True;False;False;False;False;False;False;False;False;False;False;True
164924;1501;595189;1873991;1348117;3222108;61;4712686;1;1;False;False;False;False;False;False;True;False;False;True;False;True
220000;1501;956402;177705;3073447;4205883;48;6404624;6;1;False;False;False;True;False;False;False;False;False;True;False;True
162600;1501;339809;3030322;521820;3552142;9;7551325;1;1;False;False;False;False;False;False;True;False;False;False;False;True
610000;1501;1085754;63343;2216313;2279656;14;4712949;2;1;False;False;True;False;False;False;False;False;False;True;False;True
60000;1501;859486;632231;3799342;4582163;15;7138419;2;1;False;False;True;False;False;False;False;False;False;False;False;True
626580;1501;1012385;2994665;1456544;4836119;20;4109326;1;1;False;False;False;False;False;False;True;False;False;False;False;True
1926500;1501;2497747.75;5277181;3380952;10137014.5;8;7132502;9;2;False;False;False;False;False;False;True;True;False;False;False;True
1250000;1501;1061284;5277181;2618110;8193287;12;5191639;4;3;False;True;False;False;False;False;True;False;True;False;False;True
1068000;1501;2497747.75;5277181;4855232.25;10137014.5;16;7144676;1;2;False;True;False;False;False;False;True;False;False;False;False;True
401072;1501;1454399;1701923;1125638;3378679;17;3851100;2;1;False;False;True;False;False;False;False;False;False;True;False;True
700932;1501;2497747.75;2143753;483161;8501937;18;7629651;2;1;False;False;True;False;False;False;False;False;False;False;False;True
1926500;1501;440038;390498;2898248;3288746;6;2649077;6;1;False;False;False;True;False;False;False;False;False;False;False;True
651000;1503;1091629;465350;1316035;1781385;17;7439008;1;1;False;False;False;False;False;False;True;False;False;False;False;True
1147626;1501;379009;4016;1733488;6201201;4;5189831;1;1;False;False;False;False;False;False;True;False;False;False;False;True
429867;1501;500866;2115460;2404203;6105948;4;7218516;1;1;False;False;False;False;False;False;True;False;False;False;False;True
1926500;1501;2158900;3625534;4296704;8917186;37;8529587;9;0;False;False;False;False;False;False;False;False;False;False;False;True
1926500;1501;2497747.75;5277181;4855232.25;10137014.5;54;5860152;2;1;False;False;True;False;False;False;False;False;False;True;False;True
1536324;1501;327234;118706;2723884;2842590;16;2199450;8;4;True;True;False;False;True;False;True;False;False;False;False;True
1926500;1501;2497747.75;2189286;4855232.25;7580904;15;8604512;4;3;True;True;False;False;False;False;True;False;False;False;False;True
400000;1501;357015;924662;1844199;3745951;100;8141962;1;3;False;False;True;False;False;False;True;False;True;False;True;True
52459;1501;192247;3626992;792701;4419693;10;3565016;4;1;False;True;False;False;False;False;False;False;False;True;False;True
802000;1501;386116;1978882;1904820;3883702;81;2682644;4;1;False;True;False;False;False;False;False;False;False;False;False;True
120000;1501;769482;0;360027;745854;11;5743878;7;1;False;False;False;False;False;True;False;False;False;False;False;True
31000;1501;748932;413651;1512244;1925895;61;4312160;1;2;False;True;False;False;False;False;True;False;False;False;True;True
800000;1501;2030629;4024913;1095497;5120410;11;6015747;4;3;True;True;False;False;False;False;False;False;True;True;False;True
1211500;1501;999465;4835648;3414358;8250006;44;6916950;9;0;False;False;False;False;False;False;False;False;False;True;False;True
300000;1501;416095;3596482;514428;4110910;15;6331342;1;1;False;False;False;False;False;False;True;False;False;True;False;True
1926500;1501;1470661;3168993;2745151;5914144;13;8581252;1;1;False;False;False;False;False;False;True;False;False;True;False;True
16084;1505;513908;7996;232890;240886;3;2436860;1;1;False;False;False;False;False;False;True;False;False;False;False;False
1041256;1501;1192866;3816707;3219036;7035743;16;7584221;2;2;False;False;True;False;False;False;True;False;False;False;False;True
190280;1502;856742;1083386;2562979;3646365;11;8798332;1;1;False;False;False;False;False;False;True;False;False;False;False;False
100580;1503;97153;120259;275937;396196;3;3325240;1;1;False;False;False;False;False;False;True;False;False;False;False;False
569256;1501;491152;8316;783900;796425;1;3571633;2;1;False;False;True;False;False;False;False;False;False;False;False;False
33000;1509;1367086;267123;870604;1137727;20;3591741;1;1;False;False;False;False;False;False;True;False;False;False;False;True
400000;1501;1971700;1937912;2093277;4320862;11;6807213;1;4;True;True;False;False;False;False;True;False;True;False;False;True
836530;1501;0;130989;1727999;1869587;9;6848052;1;1;False;False;False;False;False;False;True;False;False;True;False;True
460000;1501;2497747.75;1791013;1966082;3757095;54;7547195;1;1;False;False;False;False;False;False;True;False;False;True;False;True
1515000;1501;495073;3392068;4855232.25;10137014.5;41;8056369;1;1;False;False;False;False;False;False;True;False;False;True;False;True
1926500;1501;1150629;3348115;3135205;6483320;14;4107342;1;2;False;False;False;True;False;False;True;False;False;False;False;False
48000;1509;189676;5277181;111263;7691719;34;3126247;9;0;False;False;False;False;False;False;False;False;False;True;True;True
963296;1501;345735;88378;1774457;2718835;14;3352581;5;1;False;False;False;False;False;False;False;False;True;True;False;True
100000;1501;1302623;809248;4855232.25;5861820;9;6855912;1;1;False;False;False;False;False;False;True;False;False;False;False;True
20000;1503;2497747.75;26960;1507715;1534675;52;8177546;1;1;False;False;False;False;False;False;True;False;False;False;True;True
75000;1501;518690;118853;497280;616133;9;4034392;7;1;False;False;False;False;False;True;False;False;False;True;False;False
630000;1509;613042;3906;3026783;3030689;2;7100842;1;1;False;False;False;False;False;False;True;False;False;True;False;True
0;1501;0;0;0;0;0;0;3;0;False;False;False;False;False;False;False;False;False;False;False;False
1000000;1501;1285881;0;2449098;2449098;7;8942596;9;0;False;False;False;False;False;False;False;False;False;False;False;True
0;1501;0;0;0;0;0;0;3;0;False;False;False;False;False;False;False;False;False;False;False;False
10000;1501;0;3683732;251603;3935335;83;4850586;2;2;False;False;True;False;False;False;False;False;True;False;False;True
140631;1507;962812;74285;652449;726734;2;7227310;9;0;False;False;False;False;False;False;False;False;False;True;False;False
100500;1501;350576;363424;646278;1010122;7;4618545;4;1;False;True;False;False;False;False;False;False;False;True;False;True
36000;1506;445074;1338891;550508;1889399;19;7841123;4;3;False;True;False;True;False;False;False;False;True;False;True;True
61052;1501;248022;420378;3304754;3755610;5;3132110;1;1;False;False;False;False;False;False;True;False;False;False;False;True
150000;1501;344405;1845535;685149;2534690;3;4397502;1;1;False;False;False;False;False;False;True;False;False;True;False;False
610000;1507;1306452;76359;2066358;2142717;7;5641650;1;1;False;False;False;False;False;False;True;False;False;True;False;True
54408;1501;97831;3153761;191496;3494549;60;3260479;1;2;False;False;False;True;False;False;True;False;False;True;False;True
600000;1501;2497747.75;2756891;2291763;5323510;83;5291251;1;1;False;False;False;False;False;False;True;False;False;True;False;True
200000;1501;655740;1438034;814245;2252279;3;4605004;1;1;False;False;False;False;False;False;True;False;False;True;False;True
32000;1501;499935;485237;748942;1236921;2;6144389;1;1;False;False;False;False;False;False;True;False;False;False;False;True
626580;1501;885469;3042291;1237591;4279882;11;3694946;1;1;False;False;False;False;False;False;True;False;False;False;False;True
26819;1501;1885541;134842;980315;1115157;8;7091094;9;0;False;False;False;False;False;False;False;False;False;False;False;True
116660;1501;1604405;856137;427212;1283349;6;6081760;1;1;False;False;False;False;False;False;True;False;False;False;False;True
300000;1501;547423;1439925;838479;2278404;6;7715799;1;1;False;False;False;False;False;False;True;False;False;False;False;True
631381;1501;1465641;864359;3233577;4097936;12;8014174;1;2;False;False;False;False;False;False;True;False;True;False;False;True
140000;1501;213121;402338;396745;1325907;2;5125212;5;1;False;False;False;False;False;False;False;False;True;False;False;False
50000;1501;275370;774689;290818;1065507;9;3437533;1;1;False;False;False;False;False;False;True;False;False;False;False;True
50000;1501;478289;531679;1519798;2051477;10;6072703;1;1;False;False;False;False;False;False;True;False;False;False;False;True
227809;1509;485736;387707;1752508;2140215;65;6800404;2;1;False;False;True;False;False;False;False;False;False;True;False;True
50000;1501;226229;178398;729931;1157592;4;8892410;5;2;False;False;False;False;False;False;True;False;True;False;False;True
107828;1509;504773;1270748;4855232.25;6392811;20;6869083;6;1;False;False;False;True;False;False;False;False;False;True;False;True
330450;1503;457434;92229;1129425;1221654;6;3518724;1;1;False;False;False;False;False;False;True;False;False;False;False;False
537608;1501;297433;0;804175;1636625;16;3725612;2;1;False;False;True;False;False;False;False;False;False;False;False;True
3750;1501;185421;11992;500563;512555;17;2780955;6;1;False;False;False;True;False;False;False;False;False;False;False;True
200000;1501;308167;387485;643994;1031479;84;6473144;4;1;False;True;False;False;False;False;False;False;False;True;False;True
150000;1508;2349655;537443;316035;853478;19;2279649;9;1;False;False;False;False;False;False;False;False;True;False;False;False
308234;1501;150652;82774;630981;1018255;2;6378510;9;0;False;False;False;False;False;False;False;False;False;True;False;False
1000;1501;2020164;5277181;-1792983;10137014.5;10;7501150;2;3;False;False;True;False;True;False;True;False;False;True;False;True
0;1501;0;0;0;0;0;0;3;0;False;False;False;False;False;False;False;False;False;False;False;False
119670;1501;518306;2250887;811462;3062349;55;7625739;5;3;False;True;False;True;False;False;False;False;True;True;False;True
10000;1501;470060;15708;526937;5756513;29;8456684;5;1;False;False;False;False;False;False;False;False;True;False;True;True
50000;1510;657568;1323879;854535;2178414;3;8995040;1;2;False;False;False;False;False;False;True;False;True;False;False;True
52330;1501;1947041;1212505;4676366;5888871;12;2817190;5;1;False;False;False;False;False;False;False;False;True;True;False;True
10000;1501;318363;34375;604697;639072;40;6066837;1;2;False;False;False;True;False;False;True;False;False;False;False;False
50000;1503;722181;101957;727407;1181920;66;7943986;1;2;True;False;False;False;False;False;True;False;False;False;False;True
1460810;1509;705678;185760;2070271;3098268;15;3224800;1;1;False;False;False;False;False;False;True;False;False;False;False;False
0;1501;0;0;0;0;0;0;3;0;False;False;False;False;False;False;False;False;False;False;False;False
0;1501;0;0;0;0;0;0;3;0;False;False;False;False;False;False;False;False;False;False;False;False
650000;1501;159013;58666;882275;940941;2;2570944;3;1;True;False;False;False;False;False;False;False;False;False;False;True
156800;1501;542691;4942634;1045753;5988387;2;7690726;3;1;True;False;False;False;False;False;False;False;False;False;False;True
0;1501;0;0;0;0;0;0;3;0;False;False;False;False;False;False;False;False;False;False;False;False
1000000;1501;839929;4022742;3174098;7196840;14;3795461;9;0;False;False;False;False;False;False;False;False;False;True;False;True
0;1503;0;0;0;0;0;0;3;0;False;False;False;False;False;False;False;False;False;True;False;False
20000;1503;1286282;4611101;-1384349;3226752;2;3885781;1;1;False;False;False;False;False;False;True;False;False;False;False;True
0;1501;0;0;0;0;0;0;3;0;False;False;False;False;False;False;False;False;False;False;False;False
38000;1501;499181;594697;505589;1100286;14;2299181;9;0;False;False;False;False;False;False;False;False;False;False;False;True
0;1501;0;0;0;0;0;0;3;0;False;False;False;False;False;False;False;False;False;False;False;False
30000;1501;574694;1816077;369962;2186039;19;4997594;4;2;False;True;False;False;False;False;True;False;False;False;False;True
1106144;1501;0;16824;1238776;1255600;8;4241457;1;1;False;False;False;False;False;False;True;False;False;True;False;True
20000;1501;440181;103350;1048221;1690402;14;3676625;6;2;True;False;False;True;False;False;False;False;False;True;False;False
1170617;1501;414876;100430;1818057;1918487;0;5185949;2;1;False;False;True;False;False;False;False;False;False;False;False;False
140000;1501;213793;579381;435186;1014567;2;6104773;2;2;False;False;True;False;False;False;True;False;False;False;False;False
20000;1501;625356;106479;1007215;1113694;6;6450239;7;1;False;False;False;False;False;True;False;False;False;False;False;True
400000;1501;860927;0;1238418;1337129;1;6527404;5;2;False;False;True;False;False;False;False;False;True;True;False;True
91009;1503;267826;103358;467165;570523;2;2715943;1;1;False;False;False;False;False;False;True;False;False;False;False;False
130000;1502;170114;52657;424948;477605;2;2233976;1;1;False;False;False;False;False;False;True;False;False;False;False;False
591651;1501;736568;0;1744021;5029819;6;5222296;1;1;False;False;False;False;False;False;True;False;False;True;False;True
156800;1501;472212;2172482;942525;3115007;4;7223286;1;1;False;False;False;False;False;False;True;False;False;False;False;True
892140;1501;1309720;1361770;1762662;4701800;11;6538922;2;1;False;False;True;False;False;False;False;False;False;True;False;True
7000;1501;946226;591599;520657;1120041;7;7128037;1;1;False;False;False;False;False;False;True;False;False;False;False;True
250000;1501;97971;9514;496997;506511;2;2385622;6;2;False;False;False;True;False;False;True;False;False;False;False;False
1155871;1501;2497747.75;108784;1844046;4556210;33;6852886;9;0;False;False;False;False;False;False;False;False;False;True;False;True
1926500;1502;0;5277181;4855232.25;10137014.5;3;1650697;1;1;False;False;False;False;False;False;True;False;False;False;False;True
620000;1501;1599406;5277181;1554315;6873255;6;7018420;6;2;False;False;False;True;False;False;True;False;False;True;False;False
446000;1501;547252;2659285;1824510;4483795;15;7551922;5;1;False;False;False;False;False;False;False;False;True;False;False;True
260608;1508;543318;1326518;919137;3612937;2;3322550;2;2;False;False;True;False;False;False;False;False;True;True;False;True
153100;1503;310784;0;327254;535893;16;2728589;3;1;True;False;False;False;False;False;False;False;False;True;False;True
1180000;1506;714072;658842;1720844;2379686;12;3084250;1;1;False;False;False;False;False;False;True;False;False;False;False;True
1900045;1506;911732;685252;2248932;2934184;10;8666983;1;1;False;False;False;False;False;False;True;False;False;False;False;True
30000;1501;133506;3033260;-301505;2731755;17;6572597;7;1;False;False;False;False;False;False;True;False;False;True;False;True
550000;1507;95788;1468625;952482;2421107;2;4251374;1;1;False;False;False;False;False;False;True;False;False;False;False;False
10000;1501;323207;221702;397411;619113;4;4363289;9;0;False;False;False;False;False;False;False;False;False;False;False;True
2000;1505;59732;1986604;-11312;1975292;14;4366454;9;0;False;False;False;False;False;False;False;False;False;False;False;False
10000;1507;405369;824000;953648;1777648;4;3086296;2;1;False;False;True;False;False;False;False;False;False;True;False;True
30000;1508;392825;1145647;379610;1930885;10;2628224;1;1;False;False;False;False;False;False;True;False;False;False;False;False
1000;1509;10002;636803;630770;1267573;2;2112644;9;0;False;False;False;False;False;False;False;False;False;True;False;True
315154;1509;1309137;738353;730607;2022825;4;7542736;5;1;False;False;False;False;False;False;False;False;True;False;False;False
30000;1501;1256688;3009754;365622;3375376;17;6321203;8;2;False;False;False;False;True;False;True;False;False;False;False;False
114900;1501;503907;999981;854117;1854098;15;3126032;9;0;False;False;False;False;False;False;False;False;False;True;False;True
10000;1501;276315;424953;296908;721861;2;2125501;1;1;False;False;False;False;False;False;True;False;False;True;False;False
20000;1501;206131;70000;446759;516759;3;3780467;3;1;True;False;False;False;False;False;False;False;False;True;False;True
3450;1501;27520;905999;577838;1483837;1;5610211;1;1;False;False;False;False;False;False;True;False;False;False;False;True
21400;1501;280834;11144;64168;546180;1;3521631;1;1;False;False;False;False;False;False;True;False;False;False;False;False
262466;1501;730899;2749739;516835;3266574;4;6941749;1;1;False;False;False;False;False;False;True;False;False;True;False;False
1888710;1509;165587;749;1476272;1624072;4;3533132;7;1;False;False;False;False;False;True;False;False;False;True;False;False
1035000;1501;617052;2230722;2090429;4321151;6;5172780;1;2;True;False;False;False;False;False;True;False;False;False;False;False
106903;1503;247143;2787;249407;433617;3;3220609;1;2;False;False;True;False;False;False;True;False;False;True;False;False
50000;1506;117712;114666;301929;416595;2;2855048;1;1;False;False;False;False;False;False;True;False;False;False;False;False
315250;1501;150177;233500;392696;626196;2;3374757;1;1;False;False;False;False;False;False;True;False;False;True;False;False
446000;1501;505680;2075013;1597445;3672458;5;4654826;1;1;False;False;False;False;False;False;True;False;False;True;False;True
498361;1503;41906;2095759;1253447;3400213;11;7459204;1;1;False;False;False;False;False;False;True;False;False;True;False;True
1926500;1501;2497747.75;168319;4855232.25;8450406;7;5974810;5;1;False;False;False;False;False;False;False;False;True;True;False;True
455710;1505;199611;1186993;448368;1635361;5;6085810;9;0;False;False;False;False;False;False;False;False;False;False;False;True
182000;1501;1773767;444465;1455364;6282743;9;4339156;2;2;False;False;True;False;False;False;True;False;False;False;False;True
100000;1501;1558438;2833294;2159687;5534602;11;6160677;2;2;False;False;True;False;False;False;True;False;False;False;False;True
510708;1502;432808;628698;1014334;1647613;18;6580698;1;1;False;False;False;False;False;False;True;False;False;False;False;False
1178830;1501;737084;3061199;1828295;5691560;18;6019822;5;2;False;False;True;False;False;False;False;False;True;False;False;True
60000;1501;268982;2578424;248354;2826782;10;3683675;1;1;False;False;False;False;False;False;True;False;False;True;False;True
1926500;1501;2418299;2834133;4493634;7327767;12;6794660;9;1;False;False;False;False;False;False;True;False;False;False;False;True
207000;1501;2497747.75;2356818;1785858;4142676;16;4934549;5;3;True;False;True;False;False;False;False;False;True;False;False;True
1926500;1501;2497747.75;2069495;4855232.25;10137014.5;19;8686543;2;4;True;False;True;False;False;False;True;False;True;True;False;True
9650;1501;707827;3123870;-925084;2359694;3;2581321;8;2;True;False;False;False;True;False;False;False;False;True;False;True
50000;1501;860946;373530;567549;2729322;3;4591574;3;1;True;False;False;False;False;False;False;False;False;False;False;True
5000;1501;581844;3758379;439532;4197911;30;3728873;2;1;False;False;True;False;False;False;False;False;False;False;False;True
30000;1501;618889;2841356;292122;3133478;10;7736113;1;1;False;False;False;False;False;False;True;False;False;True;False;True
110000;1501;603118;2155863;957734;3113597;10;5376122;6;3;True;False;False;True;False;False;True;False;False;True;False;False
26676;1501;757020;1686686;741265;2427951;3;7088863;5;2;False;False;False;False;False;False;True;False;True;True;False;False
521830;1501;599837;926133;640902;1567035;8;3067163;1;1;False;False;False;False;False;False;True;False;False;False;False;True
48000;1509;111116;136330;223795;360125;1;3133727;1;1;False;False;False;False;False;False;True;False;False;False;False;True
62500;1509;1189466;959838;705327;1754804;1;6324449;1;1;False;False;False;False;False;False;True;False;False;True;False;True
100000;1508;401875;1972243;439957;2412200;32;5111290;1;1;False;False;False;False;False;False;True;False;False;True;False;False
178571;1501;1851400;4117;1553816;1557933;3;4826096;1;1;False;False;False;False;False;False;True;False;False;False;False;False
685797;1509;537452;2065365;1662049;3727414;9;6083785;9;1;False;False;False;False;False;False;True;False;False;False;False;False
100000;1506;1308575;1763010;938827;2701837;9;5577628;6;3;True;False;False;True;False;False;True;False;False;False;False;False
492411;1501;1092782;90142;5363551;5453693;17;8827287;1;1;False;False;False;False;False;False;True;False;False;True;False;True
2478553;1501;25651;8573;571956;704662;3;7522260;1;1;False;False;False;False;False;False;True;False;False;True;False;False
144574;1501;1623338;119766;2494256;3126993;18;8422528;1;1;False;False;False;False;False;False;True;False;False;True;False;True
300000;1501;1113524;1335602;814318;2149920;22;6507032;1;1;False;False;False;False;False;False;True;False;False;False;True;True
2478553;1501;2216307;5277292;0;3880229;12;7899423;1;1;False;False;False;False;False;False;True;False;False;False;False;True
232470;1501;581063;8039;495928;503967;5;5204438;1;1;False;False;False;False;False;False;True;False;False;False;True;False
2478553;1501;1116460;44273;1769136;1932519;17;8592784;1;1;False;False;False;False;False;False;True;False;False;False;True;True
425435;1501;1947376;3122072;2460710;5582782;0;8293568;7;1;False;False;False;False;False;True;False;False;False;True;True;False
2478553;1501;1287949;613273;2301928;5006619;17;7757910;7;1;False;False;False;False;False;True;False;False;False;True;True;True
2478553;1501;1017573;2163;5732785;5734948;6;7439299;1;3;False;True;False;True;False;False;True;False;False;False;False;True
118764;1501;453577;1962762;527198;2489960;12;7126982;1;2;False;False;False;False;False;False;True;False;True;True;True;True
850000;1501;580520;659608;1151247;1810855;6;7001379;7;1;False;False;False;False;False;True;False;False;False;True;False;True
489178;1501;317434;1121498;547916;2733977;2;8012195;1;1;False;False;False;False;False;False;True;False;False;True;False;True
0;1501;3281143.25;531789;5865724.375;11533479.75;38;8874051;1;2;False;True;False;False;False;False;True;False;False;True;False;True
2478553;1501;2300118;5277292;3047687;8402965;22;4542809;4;2;False;True;False;False;False;False;True;False;False;False;True;True
