activo_corriente;capital_invertido;gastos_por_prestamos;deudas_corto_plazo;patrimonio_empresa;provincia;ganancia_operativa;total_activo;deudas_largo_plazo;total_pasivo_y_patrimonio;numero_empleados;ventas_netas;canal_principal;cantidad_canales_venta;publicidad;vende_por_catalogo;vende_con_comisionistas;vende_a_domicilio;vende_en_linea;vende_en_ferias;vende_en_maquinas_venta;vende_en_tienda;otros_medios_venta;vende_por_telefono;uso_de_software;sobrevive_2años
4362170;662997;434342;3979008;2328075;1501;106113;6366425;59342;6366425;3;2731898;1;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
371678;515350;34073;0;768143;1501;0;769514;1371;769514;2;3218109;7;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
3457187;2147202;23554;283117;3679823;1501;54782;4363224;400284;4363224;7;114821;9;0;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
2194993;90000;884614;0;2297324;1501;0;2312294;14970;2312294;3;6460528;1;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
4963236;733557;734287;1826591;3548829;1501;0;5375420;0;5375420;10;4387767;1;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
3704450;473227;1046730;1087487;2967923;1501;178961;4133763;78353;4133763;16;4602740;1;1;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
1526296;5000;447726;749011;1238696;1501;0;1987707;0;1987707;3;6192528;1;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
1358816;230965;680042;1047238;587115;1501;0;1634353;0;1634353;17;2378832;1;3;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
729394;50000;160905;344727;294875;1501;0;729602;90000;729602;6;3495455;1;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
3154952;10156;640269;1263730;1891585;1501;102006;3155315;0;3155315;3;3511860;9;0;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
594370;1332602;454723;152954;1626433;1501;13937;3337132;460772.5;3337132;5;3140975;1;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
1663495;30000;588409;392428;1287597;1501;0;1680025;0;1680025;4;4043924;1;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
6047967;200000;0;310;1992083;1501;0;11533479.75;460772.5;11533479.75;6;5886037;1;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;TRUE
262027;100000;163160;11892;268303;1501;0;280195;0;280195;3;4577702;5;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE
1163470;50000;123815;674635;489038;1501;0;1163673;0;1163673;4;3721748;1;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE
393084;10000;670778;325923;461121;1501;0;788467;1423;788467;19;5539190;7;1;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE
