activo_corriente;capital_invertido;gastos_por_prestamos;deudas_corto_plazo;patrimonio_empresa;provincia;ganancia_operativa;total_activo;deudas_largo_plazo;total_pasivo_y_patrimonio;numero_empleados;ventas_netas;canal_principal;cantidad_canales_venta;publicidad;vende_por_catalogo;vende_con_comisionistas;vende_a_domicilio;vende_en_linea;vende_en_ferias;vende_en_maquinas_venta;vende_en_tienda;otros_medios_venta;vende_por_telefono;usa_ventas_comisionistas;uso_de_software;ventas_ventas_comisionistas;sobrevive_2años
1068583;50000;2364274;1022223;369435;1501;55;1391658;0;1391658;10;5194414;ventas_comisionistas;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0
4195038;251000;4166548;2706194;1482967;1501;0;4451125;261964;4451125;3;7866961;ventas_otros;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
1306818;79000;432184;1345425;304445;1501;0;1649870;0;1649870;3;4213118;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
12614695;1480987;2579449;9051919;4143527;1501;1175775;13195446;0;13195446;7;7744684;ventas_comisionistas;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0
770937;1000;267317;678181;208402;1501;0;1799290;912707;1799290;5;3957263;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
1279763;401230;346687;737743;755318;1501;0;1493061;0;1493061;4;3050236;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
2889579;1200000;1136697;170500;2410869;1501;0;2939605;358236;2939605;1;3701564;ventas_telefono;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0
2025960;302314;1830803;1865401;673696;1501;0;2539097;0;2539097;54;5593583;ventas_mostrador;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0
2651518;514600;-5526;2404796;327982;1501;3;2732778;0;2732778;3;2661365;ventas_mostrador;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0
497583;1000000;755094;2285300;1198334;1501;89771;3483634;0;3483634;12;5661440;ventas_maquinas;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0
