IRUC;ACTIVIDADECONOMICA;Actividad economica;Activo corriente;CIIU;Capital Suscrito;Capital pagado;Departamento;Distrito;Dividendos pagados1;Dividendos pagados2;Gastos financieros;MERCADERIAPRINCIPAL;Margen Comercial;NumMeses;Pasivo corriente;Patrimonio neto;Prestación de servicios;Provincia;Resultado de Explotacion;Total Activo;Total Pasivo no corriente;Total Pasivo y Patrimonio;Totalempleados;VENTAS;Ventas netas de mercaderías;Ventas netas de productos terminados, subproductos, desechos y desperdicios;canal_dominante;nro_canales_usados;publicidad;usa_catalogo;usa_comisionistas;usa_domicilio;usa_ecommerce;usa_ferias;usa_maquinas;usa_mostrador;usa_otros;usa_telefono;usa_total;usa_ventas_comisionistas;uso_de_software;ventas_catalogo;ventas_comisionistas;ventas_domicilio;ventas_ecommerce;ventas_ferias;ventas_maquinas;ventas_mostrador;ventas_otros;ventas_telefono;ventas_total;ventas_total_canal13;ventas_ventas_comisionistas;Año;Sobrevive_2años
166865;VENTA AL POR MAYOR DE MATERIALES DE CONSTRUCCION;;996324;4663;10000;10000;15;150199;0;0;0;CEMENTO;441450;12;433223;291329;0;1501;0;1209775;485223;1209775;5;3861450;3861450;0;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3861450;0;0;3861450;3861450;0;2019;0
166869;VENTA AL POR MAYOR Y MENOR DE PRODUCTOS DE PRIMERA NECESIDAD;;1305968;4630;20000;20000;15;150199;;;0;ARROZ FIDEOS;434333;12;315046;537557;0;1501;0;1710382;857779;1710382;1;4752081;4752081;0;ventas_domicilio;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4752081;0;0;0;0;0;0;4752081;4752081;0;2019;0
166885;VENTAS AL POR MENOR DE ARTICULOS ELECTRONICOS;;3230969;4773;10000;10000;15;150199;;;0;AMPLIFICADORES OPTICOS;2019669;12;3059678;525752;15979;1501;286;3585430;0;3585430;12;6625247;6609268;0;ventas_catalogo;1;1;1;0;0;0;0;0;0;0;0;0;0;0;6609268;0;0;0;0;0;0;0;0;6609268;6609268;0;2019;0
166933;VENTA DE PRODUCTOS DE VESTIR Y CALZADO;;2463656;4641;3777052;3777052;15;150199;0;0;0;ZAPATOS;1446685;12;622784;3235442;0;1501;14168;6314069;2455843;6314069;2;3124028;3124028;0;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3124028;0;0;3124028;3124028;0;2019;0
166947;VENTA AL POR MAYOR DE OTROS TIPOS DE MAQUINARIA Y EQUIPO;;5763445;4659;20000;20000;15;150199;0;0;0;FUMIGADORAS GENERADORES;1032067;12;5782944;68122;0;1501;978;5851066;0;5851066;8;4517342;4517342;0;ventas_mostrador;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4517342;0;0;4517342;4517342;0;2019;0
166972;COMERCIALIZACION DE PRODUCTOS AGRICOLAS Y SERVICIOS DE PROCESAMIENTO DE PRODUCTOS AGRICOLAS;;2041421;4630;36000;36000;15;150135;0;0;0;OREGANO Y HONGO;780862;12;2802217;-495918;0;1501;162512;2306299;0;2306299;4;8693522;807974;7885548;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;807974;0;0;807974;807974;0;2019;1
166979;VENTAS DE ABARROTES;;393134;4630;5000;5000;15;150199;0;0;0;LECHE GLORIA;54216;12;394000;36934;0;1501;0;430934;0;430934;1;5485026;5485026;0;ventas_telefono;2;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1238171;0;4246855;5485026;5485026;0;2019;0
167020;COMERCIALIZACION  DE REPUESTOS PARA MAQUINAS DE CONTROL DE CALIDAD EN ALIMENTOS;;3319728;4690;500;500;15;150199;0;0;0;REPUESTOS;1260807;12;4050809;-960213;0;1501;10102;3469304;378708;3469304;7;2911373;2911373;0;ventas_telefono;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2911373;2911373;2911373;0;2019;0
167073;VENTAS AL POR MAYOR DE ALIMENTOS Y BEBIDAS;;878165;4630;294006;294006;15;150199;0;0;0;ARROZ;860948;12;345128;651341;0;1501;0;996469;0;996469;13;6582852;6582852;0;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;6582852;0;0;6582852;6582852;0;2019;0
167081;VENTA DE ALIMENTOS BALANCEADOS PARA GANADO;;353881;4620;50000;50000;15;150142;212898;0;0;AFRECHO;606861;12;439908;262898;0;1501;0;702806;0;702806;3;3849333;3849333;0;ventas_domicilio;3;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1949333;0;0;0;1200000;0;700000;3849333;3849333;0;2019;1
