IRUC;ACTIVIDADECONOMICA;Actividad economica;Activo corriente;CIIU;Capital Suscrito;Capital pagado;Departamento;Distrito;Dividendos pagados1;Dividendos pagados2;Gastos financieros;MERCADERIAPRINCIPAL;Margen Comercial;NumMeses;Pasivo corriente;Patrimonio neto;Prestación de servicios;Provincia;Resultado de Explotacion;Total Activo;Total Pasivo no corriente;Total Pasivo y Patrimonio;Totalempleados;VENTAS;Ventas netas de mercaderías;Ventas netas de productos terminados, subproductos, desechos y desperdicios;canal_dominante;nro_canales_usados;publicidad;usa_catalogo;usa_comisionistas;usa_domicilio;usa_ecommerce;usa_ferias;usa_maquinas;usa_mostrador;usa_otros;usa_telefono;usa_total;usa_ventas_comisionistas;uso_de_software;ventas_catalogo;ventas_comisionistas;ventas_domicilio;ventas_ecommerce;ventas_ferias;ventas_maquinas;ventas_mostrador;ventas_otros;ventas_telefono;ventas_total;ventas_total_canal13;ventas_ventas_comisionistas;Año;Sobrevive_2años
233;;;2329080;;492411;492411;15;150199;0;;42379;;1092782;;90142;5363551;0;1501;231841;5453693;0;5453693;17;8827287;8827287;0;ventas_mostrador;1;1;0;0;0;0;0;0;1;0;0;0;0;0;;0;;;;;;;;;;;2015;0
1422;VENTA AL POR MAYOR Y MENOR DE ABARROTES;;655607;4721;459144;3000000;15;150199;0;0;386112;LECHE;25651;12;8573;571956;0;1501;-1385061;704662;124133;704662;3;7522260;7522260;0;ventas_mostrador;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;2016;0
2502;;;1504242;;144574;144574;15;150199;0;;51383;;1623338;;119766;2494256;0;1501;441991;3126993;512971;3126993;18;8422528;8422528;0;ventas_mostrador;1;1;0;0;0;0;0;0;1;0;0;0;0;0;;0;;;;;;;;;;;2015;0
2670;VENTA DE MATERIAL DRYWALL Y LANA DE VIDRIO;VENTA DE DRYWALL;2133948;4799;300000;300000;15;150141;0;0;0;PLANCHAS DE DRYWALL;1113524;12;1335602;814318;0;1501;13;2149920;0;2149920;22;6507032;6507032;0;ventas_mostrador;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;6507032;0;0;6507032;6507032;0;2019;0
2717;;;1205105;;3237537;3237537;15;150199;0;;4000403;;2216307;;5680301;-1800072;0;1501;61242;3880229;0;3880229;12;9376399;7899423;1476976;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;0;;0;;;;;;;;;;;2015;0
2822;VENTA DE MATERIALES DE CONTRUCCION;VENTA DE CEMENTOS;447357;4663;232470;232470;15;150117;0;0;0;LADRILLOS Y CEMENTOS;581063;10;8039;495928;0;1501;0;503967;0;503967;5;5204438;5204438;0;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;5204438;0;0;5204438;5204438;0;2019;0
4338;VENTA DE COMBUSTIBLES Y LUBRICANTES AL POR MENOR;;1687422;4730;137002;7335262;15;150131;0;0;0;COMBUSTIBLES;1116460;12;44273;1769136;231807;1501;351587;1932519;119110;1932519;17;8824591;8592784;0;ventas_mostrador;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;100;0;0;0;0;0;2016;1
5092;;;1926782;;425435;425435;15;150199;0;;0;;1947376;;3122072;2460710;0;1501;1051045;5582782;0;5582782;0;8293568;8293568;0;ventas_maquinas;1;1;0;0;0;0;0;1;0;0;0;0;0;1;;0;;;;;;;;;;;2015;1
5092;VENTA POR MENOR DE COMBUSTIBLE;;1074183;4730;425435;53565412;15;150199;0;0;0;COMBUSTIBLE;1287949;12;613273;2301928;0;1501;418661;5006619;2091418;5006619;17;7757910;7757910;0;ventas_maquinas;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;100;0;0;0;0;0;0;2016;0
6104;VENTA AL POR MENOR DE COMBUSTIBLES;;5419844;4730;274468;3680660;15;150131;0;0;4331842;GASOLINA 84 OCTANOS Y DIESEL B5;1017573;12;2163;5732785;0;1501;709850;5734948;0;5734948;6;7439299;7439299;6024196;ventas_mostrador;3;1;0;1;0;1;0;0;1;0;0;0;0;0;0;97;0;3;0;0;100;0;0;0;0;0;2016;1
6872;;;1855463;;118764;118764;15;150101;0;;285349;;453577;;1962762;527198;0;1501;158134;2489960;0;2489960;12;7126982;7126982;0;ventas_mostrador;2;1;0;0;0;0;0;0;1;0;1;0;0;1;;0;;;;;;;;;;;2015;1
6901;;;1162050;;850000;850000;15;150199;0;;38914;;580520;;659608;1151247;0;1501;271212;1810855;0;1810855;6;7001379;7001379;0;ventas_maquinas;1;1;0;0;0;0;0;1;0;0;0;0;0;0;;0;;;;;;;;;;;2015;0
8375;VENTA AL POR MAYOR DE MATERIALES DE CONSTRUCCION;ADMINISTRACION VENTA MATERIALES DE CONSTRUCCION;2723233;4663;489178;489178;15;150116;0;0;0;FIERROS CORRUGADOS;317434;12;1121498;547916;0;1501;0;2733977;1064563;2733977;2;8012195;8012195;0;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;8012195;0;0;8012195;8012195;0;2019;0
9921;VENTA DE ARTICULOS PARA LA INDUSTRIA;VENTA DE ARTICULOS PARA LA INDUSTRIA;11558699;4663;0;0;15;150199;0;0;371754;DISCOS DE CORTE;3941461;12;531789;11307933;128268;1501;-90647;11839722;0;11839722;38;9002319;8874051;0;ventas_mostrador 2018;2;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9002319;9002319;0;2018;0
9924;IMPORTACION EXPORTACION VENTA DE CADENAS Y SIMILARES Y SU COMERCIALIZACION EN EL MERCADO NACIONAL;VENTA AL POR MAYOR Y MENOR DE CADENAS DE TRANSMISION OTROS;8258123;4652;2684774;2684774;15;150101;0;0;0;CADENA DE TRANSMISION;2300118;12;5355278;3047687;0;1501;396899;8402965;0;8402965;22;4542809;4542809;0;ventas_comisionistas;2;1;0;1;0;0;0;0;1;0;0;0;0;1;0;3180918;0;0;0;0;1361891;0;0;4542809;4542809;0;2019;0
9976;IMPORTACION Y DISTRIBUCION DE LIBROS DE CULTURA GENERAL;VENTAS DE LIBROS INFANTILES;29651964;4649;7976740;7976740;15;150122;0;0;0;LIBROS;3416761;12;30257178;1170437;0;1501;31108;32238532;810917;32238532;48;7299826;7299826;0;ventas_mostrador;2;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;656984;0;0;6642842;0;0;7299826;7299826;0;2019;0
10048;;;9658995;;1941108;1941108;15;150113;0;;342998;;3153434;;671696;11073387;0;1501;1234024;11745083;0;11745083;8;8259970;8259970;0;ventas_maquinas;1;1;0;0;0;0;0;1;0;0;0;0;0;0;;0;;;;;;;;;;;2015;1
10052;;;10642070;;160000;160000;15;150131;0;;125810;;2366161;;2265994;8561650;0;1501;794381;10827644;0;10827644;5;8735430;8735430;0;ventas_comisionistas;2;1;0;0;0;0;0;0;0;0;1;0;1;1;;0;;;;;;;;;;;2015;1
10052;IMPORTACION  Y VENTA  DE REPUESTOS  AUTOMOTRICES;;10907097;4530;160000;3600000;15;150131;0;0;27307755;REFRIGERANTE  VERDE;2255700;12;2046007;8904997;0;1501;448765;10951004;0;10951004;10;8724709;8724709;0;ventas_telefono;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;2016;1
10052;IMPORTACION Y VENTA DE REPUESTOS  AUTOMOTRICES;IMPORTACION Y VENTA DE REPUESTOS  AUTOMOTRICES;10044747;4530;160000;160000;15;150131;0;0;561237;REFRIGERANTE  VERDE;1685593;12;1118577;9019719;0;1501;292015;10138296;0;10138296;5;7342959;7342959;0;ventas_comisionistas 2017;2;1;0;1;0;0;0;0;0;0;1;0;0;0;0;6975811.05;0;0;0;0;0;0;367147.95;7342959;7342959;0;2017;1
10077;VENTA AL POR MAYOR DE MAQUINARIA Y EQUIPO;VENTA DE MAQUINARIA Y EQUIPO Y ADMINISTRACION;13213865;4659;4673006;4673006;15;150120;;;0;MAQUINARIA Y REPUESTOS;2848798;12;10682153;5744291;15795906;1501;2876598;16426444;0;16426444;21;23621918;7826012;0;ventas_ecommerce;5;1;1;1;1;1;0;0;0;0;1;0;0;1;156520;391301;782601;6260810;0;0;0;0;234780;7826012;7826012;0;2019;1
10084;VENTA DE PRODUCTOS TEXTILES TELAS;VENTA TELAS;40288377;4641;5496856;5496856;15;150115;7121206;0;0;TELAS NACIONALES;1110139;12;31249300;12763772;0;1501;0;44013072;0;44013072;9;3540481;3540481;0;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;3540481;0;0;3540481;3540481;0;2019;0
10093;DISTRIBUCION DE LIBROS;DISTRIBUCION DE LIBROS;5401731;4690;2425176;2425176;15;150116;0;0;0;LIBROS;2503762;12;1673920;2659954;0;1501;45345;5823470;1489596;5823470;35;6690985;6690985;0;ventas_otros;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6704451;0;6690985;6690985;0;2019;1
10103;;;13114811;;7256000;7256000;15;150199;0;;537702;;3145584;;2273812;11750214;1337458;1501;609975;17166855;3142829;17166855;67;9275062;7937604;0;ventas_otros;1;1;0;0;0;0;0;0;0;1;0;0;0;0;;0;;;;;;;;;;;2015;1
10103;IMPORTACION VENTA EQUIPOS MEDICOS MANTENIMIENTO;;13114811;4799;7256000;7256000;15;150199;0;0;13857;CROMATOGRAFO S EQUIPOS DE ANALISIS;3145584;12;2273812;11750214;1337458;1501;58711;17166855;3142829;17166855;68;9275062;7937604;0;0;;1;;;;;;;;;;;0;0;;;;;;;;;;;;0;2019;0
10241;VENTA DE PRODUCTOS VETERINARIOS;;8666225;4690;983021;983021;15;150199;0;0;0;VIRKON;2832354;10;6405738;6662999;0;1501;0;13068737;0;13068737;15;7298744;7298744;0;ventas_otros;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7298744;0;7298744;7298744;0;2019;0
10326;VENTA DE NEUMATICOS Y SERVICIOS DE MANTENIMIENTO;;4136564;4530;2225220;3826500;15;150105;0;0;1474549;NEUMATICOS;902638;12;2445488;2243114;956386;1501;127530;4688602;0;4688602;29;9799564;8843178;0;ventas_catalogo;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2016;1
10326;VENTA DE NEUMATICOS PARA VEHICULOS AUTOMOTORES;;4104455;4530;2225220;2225220;15;150105;0;0;0;NEUMATICOS  PARA VEHICULOS;962935;12;3224389;2291959;1238952;1501;44566;5516348;0;5516348;36;9643027;8404075;0;ventas_mostrador;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;8404075;0;0;8404075;8404075;0;2019;1
10332;VENTA AL POR MAYOR Y MENOR DE AZUCAR Y ARROZ;;3756630;4630;1972358;1972358;15;150199;0;0;0;AZUCAR;-735269;11;5954388;-970249;0;1501;0;4984139;0;4984139;6;3869733;3869733;0;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;3869733;0;0;3869733;3869733;0;2019;0
10405;;;2040267;;1188780;1188780;15;150199;0;;284920;;701723;;1934065;1680508;0;1501;-160452;4236209;621636;4236209;8;7396407;7396407;0;ventas_mostrador;1;1;0;0;0;0;0;0;1;0;0;0;0;0;;0;;;;;;;;;;;2015;0
10461;IMPORTACION Y COMERCIALIZACION DE ARTICULOS DE ACABADOS CONTRUCCION;IMPORTACION Y COMERCIALIZACION DE ARTICULOS DE ACABADOS CONTRUCCION;4424418;4663;2260000;2260000;15;150199;0;0;436612;PISO LAMINADO;1853313;12;2657880;1535715;0;1501;-404704;4533160;339565;4533160;17;8047115;8047115;0;ventas_domicilio 2017;4;1;0;1;1;0;0;0;1;0;1;0;0;1;0;1126596.1;5311095.9;0;0;0;804711.5;0;804711.5;8047115;8047115;0;2017;0
10607;VENTA AL POR MAYOR DE MATERIALES DE CONSTRUCCION;;3549390;4663;551487;551487;15;150141;0;0;0;MATERIALES DE CONSTRUCCION;375200;12;2538371;1219469;0;1501;3010;3757840;0;3757840;16;6678159;6678159;0;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;6678159;0;0;6678159;6678159;0;2019;1
10654;;;11665034;;5000000;5000000;15;150199;0;;1852103;;6444349;;10803227;10203660;8123087;1501;6109117;21006887;0;21006887;7;23370848;6528100;8719661;ventas_comisionistas;2;1;0;0;0;0;0;0;0;0;1;0;1;0;;0;;;;;;;;;;;2015;1
10654;COMPRA Y VENTA DE PRODUCTOS QUIMICOS;;12544553;4669;5000000;2200000;15;150199;945888;745888;490950;OXIDO DE HIERRO ROJO NUBIFER R 5536;1552062;12;7200239;12342392;7238233;1501;3827314;21603158;2060527;21603158;85;21087985;6396801;0;ventas_comisionistas;2;1;0;1;0;0;0;0;0;0;1;0;0;1;0;50;0;0;0;0;0;0;2;0;0;0;2016;1
10654;COMPRA Y VENTA DE PRODUCTOS QUIMICOS;COMPRA Y VENTA DE PRODUCTOS QUIMICOS;14956522;4669;5000000;5000000;15;150199;0;0;521726;AZUL DE ULTRAMAR EP 28;1260636;12;7497030;14797338;8226420;1501;4002131;23617952;1323584;23617952;40;21739268;5404972;8107876;ventas_comisionistas 2017;2;0;0;1;0;0;0;0;0;0;1;0;0;0;0;5296872.56;0;0;0;0;0;0;108099.44;21739268;21739268;0;2017;1
10686;;;3271241;;4487743;4487743;15;150199;0;;0;;3774566;;1298298;1476567;0;1501;-983102;5089689;2314824;5089689;51;7300808;7300808;0;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;0;;0;;;;;;;;;;;2015;0
10695;VENTAS DE PLANCHAS TUBOS;;7073135;4663;1452151;1452151;15;150199;0;0;0;PLANCHAS;1639286;12;3553254;7774037;0;1501;77059;14825219;3497928;14825219;21;8975476;8975476;0;ventas_catalogo;2;1;1;0;0;0;0;0;0;0;1;0;0;0;6282833;0;0;0;0;0;0;0;2692643;8975476;8975476;0;2019;0
10706;VENTA DE MATERIALES PARA EMPRESA COMERCIAL INDUSTRIAL Y MINERA Y EMPALME DE FAJAS TRANSPORTADORAS;;7602582;4659;1718836;1718836;15;150199;0;0;0;RODAMIENTOS;1351687;12;3770672;1404274;2027352;1501;422403;11147198;5972252;11147198;57;6959088;4931736;0;ventas_otros;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;6959088;0;4931736;4931736;0;2019;0
10707;FERRETERIA VENTA DE ACCESORIOS PARA MUEBLES;;19110575;4663;400000;40000;15;150199;0;0;0;ACCESORIOS PARA MUEBLES;3625912;12;2072364;21785806;0;1501;44353;23858170;0;23858170;20;8474900;8474900;0;ventas_comisionistas;3;0;1;1;0;0;0;0;1;0;0;0;0;0;847490;6356175;0;0;0;0;1271235;0;0;8474900;8474900;0;2019;0
10717;VENTA  AL POR MAYOR Y MENOR DE PRODUCTOS QUIMICOS;;5352542;4719;1800000;1800000;15;150101;18000;0;0;FERRO;2241057;12;2053926;3537155;0;1501;0;5735638;144557;5735638;10;7813086;7813086;0;ventas_mostrador;2;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;6500000;0;1313086;7813086;7813086;0;2019;1
10721;VENTS Y DISTRIBUCION DE PERNERIA EN GENERAL;;16579200;4530;5000000;2466041;15;150199;139868;97860;19678;PERNOS;5530989;12;12829514;9739290;1104869;1501;5649066;23034763;465959;23034763;7;7720517;6615648;0;ventas_catalogo;1;1;1;0;0;0;0;0;0;0;0;0;0;0;30;0;0;0;0;0;0;0;0;0;0;0;2016;0
10746;ALMACENAMIENTO Y DEPOSITOS;ALMACENAMIENTO Y DEPOSITOS;4927062;4610;0;0;15;150199;0;0;52387;ALMACENAMIENTO Y DEPOSITOS;831781;12;3380703;7809486;3492943;1501;778522;11190189;0;11190189;3;11541824;8048881;0;ventas_mostrador 2018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11541824;11541824;0;2018;0
10775;COMERCIALIZACION DE SOLUCIONES DRYWAL Y FABRICACION DE MASILLA;COMERCIALIZACION DE SOLUCIONES DRYWAL Y FABRICACION DE MASILLA;4954117;4663;6575671;6575671;15;150140;0;0;4910631;DRYWAL;623639;12;4355565;23885047;0;1501;7114743;36517098;8276486;36517098;6;13448189;7850025;5598164;ventas_mostrador 2018;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;13448189;13448189;0;2018;1
10775;COMERCIALIZACION DE SOLUCIONES DRYWALL Y FABRICACION DE MASILLA;OFICINA ADMINISTRATIVA;7100423;4663;6575671;6575671;15;150140;351910;0;0;DRYWALL Y ACCESORIOS;6941432;12;3523860;24233099;0;1501;581796;40648654;12891695;40648654;17;13021196;6941431;6079765;ventas_mostrador;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;6941431;0;0;6941431;6941431;0;2019;0
10888;VENTA AL POR MENOR DE PRODUCTOS TEXTILES EN COMERCIOS ESPECIALIZADOS;;1418269;4751;975500;975500;15;150199;0;152000;0;TELAS Y ESPUMAS;693973;12;547431;1399058;0;1501;0;2259115;312626;2259115;6;2484927;2484927;0;ventas_mostrador;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2484927;0;0;2484927;2484927;0;2019;0
10903;VENTA DE MERCADERIA;VENTA DE MERCADERIA;2290298;4630;316309;316309;15;150134;0;0;0;MAISENA;482147;12;923369;1385200;0;1501;254661;2308569;0;2308569;5;8711789;8711789;0;ventas_telefono 2017;2;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1742357.8;0;0;0;0;6969431.2;8711789;8711789;0;2017;1
10903;VENTA AL POR MAYOR DE HARINA Y MAIZENA;;2539141;4630;316309;316309;15;150134;;;0;HARINA DE MAIZ;589631;12;827560;1726073;0;1501;0;2553633;0;2553633;5;8422158;8422158;0;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;8422158;0;0;8422158;8422158;0;2019;1
10904;VENTA DE INSUMOS INDUSTRIALES;;3066102;4669;2238006;2238006;15;150199;0;0;0;CERAS PARA VELAS DESINFECTANTES  COLORANTES;2090309;12;3061587;2490835;0;1501;286946;5552422;0;5552422;9;6086495;6086495;0;ventas_mostrador;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;6086495;0;0;6086495;6086495;0;2019;0
10945;VENTA DE EQUIPOS Y SUMINISTRO DE COMPUTO;VENTAS AL POR MAYOR DE EQUIPOS DE COMPUTADORA;4652753;4651;620381;620381;15;150116;0;0;0;VENTA DE EQUIPOS Y SUMINISTROS DE COMPUTO;937126;12;1997194;4438055;0;1501;20000;6435249;0;6435249;7;7064311;7064311;0;ventas_telefono;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;7064311;7064311;7064311;0;2019;0
10978;COMERCIALIZADORA  DE EQUIPOS MEDICOS;;3147571;4719;2000000;2000000;15;150199;0;0;0;ELASTOGRAFO;2603583;12;846615;4878886;0;1501;10151;6789182;1063681;6789182;18;5099817;5099817;0;ventas_comisionistas;2;1;0;1;0;0;1;0;0;0;0;0;0;0;0;4844826;0;0;254991;0;0;0;0;5099817;5099817;0;2019;0
11023;IMPORTACION Y VENTA DE INSTRUMENTOS INDUSTRIALES;;2140389;4659;330285;330285;15;150199;0;286431;0;MANOMETROS;1023717;12;594458;1744841;0;1501;42567;2339299;0;2339299;15;3316647;3316647;0;ventas_catalogo;3;1;1;0;0;0;0;0;1;0;1;0;0;0;2321653;0;0;0;0;0;331665;0;663329;3316647;3316647;0;2019;0
11079;COMPRA Y VENTA DE ALIMENTOS PARA MASCOTAS;;6098794;4630;4909692;4909692;15;150199;0;0;0;PRODUCTOS ROYAL CANNIN;2136457;12;7301530;530714;0;1501;275774;13125077;5292833;13125077;16;6850120;6850120;0;ventas_catalogo;1;1;1;0;0;0;0;0;0;0;0;0;0;1;6850120;0;0;0;0;0;0;0;0;6850120;6850120;0;2019;0
11216;IMPORTACION Y COMERCIALIZACION DE REPUESTOS PARA MOTOS;;7126644;4530;5049000;5049000;15;150501;0;0;0;REPUESTOS PARA MOTOS;1595469;12;4188386;3068881;0;1505;1992;7257267;0;7257267;19;7829986;7829986;0;ventas_catalogo;2;1;1;0;0;0;0;0;1;0;0;0;0;1;7542986;0;0;0;0;0;287000;0;0;7829986;7829986;0;2019;1
11240;;;2541357;;721573;721573;15;150199;0;;0;;2024078;;1004062;2580320;0;1501;1079429;3584382;0;3584382;3;8306458;8306458;0;ventas_mostrador;1;1;0;0;0;0;0;0;1;0;0;0;0;0;;0;;;;;;;;;;;2015;0
11345;VENTA AL POR MENOR DE ARTICULOS DE FERRETERIA;VENTA AL POR MENOR DE ARTICULOS DE FERRETERIA;4685163;4752;1092908;1092908;15;150136;0;0;15508;FIERRO;2171726;12;0;4108217;0;1501;458681;4970815;862598;4970815;17;8679959;8679959;0;ventas_ecommerce 2018;2;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;8679959;8679959;0;2018;1
11373;VENTAS DE UTILES DE OFICINA Y PAPELERIA EN GENERAL;;10169957;4761;5732971;5732971;15;150199;;;0;UTILES DE OFICINA;966236;12;3603374;7374240;0;1501;0;10977614;0;10977614;15;4685050;4685050;0;ventas_telefono;3;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1171263;0;0;0;1639767;0;1874020;4685050;4685050;0;2019;0
11383;COMERCIALIZACION DE MAQUINARIA PARA LA AGRICULTURA;;4032307;4659;2554413;2554413;15;150199;;;0;ATOMIZADORAS 423;2468654;12;2020355;2602704;0;1501;16907;4689136;66077;4689136;28;6799680;6799680;0;ventas_mostrador;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;6799680;0;0;6799680;6799680;0;2019;0
11402;IMPORTACION Y VENTA DE INSUMOS Y REPUESTOS PARA FOTOCOPIADORAS;;3606954;4719;2000000;2000000;15;150136;0;0;0;INSUMOS Y REPUESTOS PARA FOTOCOPIADORAS;1806373;12;1983644;1919099;0;1501;9084;3902743;0;3902743;19;5876708;5876708;0;ventas_mostrador;2;1;0;0;0;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;4701366;0;1175342;5876708;5876708;0;2019;1
11495;;;6782457;;8500000;8500000;15;150199;0;;1367706;;1392777;;1876139;7872786;293439;1501;75539;10856618;1107693;10856618;8;6767552;6474113;0;ventas_comisionistas;3;1;0;0;0;0;0;0;1;0;1;0;1;0;;0;;;;;;;;;;;2015;0
11525;SOLUCIONES PARA EL AGRO Y PRODUCTOS QUIMICOS PARA MANTENIMIENTO INDUSTRIAL;;2311556;4669;708496;708496;15;150199;0;167832;1933372;PRODUCTOS QUIMICOS;2362985;12;1596847;983056;0;1501;0;2579903;0;2579903;6;4965704;4965704;0;ventas_otros;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4965704;0;4965704;4965704;0;2019;0
11529;VENTA DE ROPA DE CABELLERO;;3294185;4771;14412631;14412631;15;150199;0;0;0;ROPA DE CABALLEROS;3412096;12;2006788;10425962;0;1501;906991;12432750;0;12432750;29;6787327;6787327;0;ventas_mostrador;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;6787327;0;0;6787327;6787327;0;2019;0
11532;VENTA DE MAQUINAS EQUIPOS CODIFICADORAS REPUESTOS SERVICIO ALQUILER Y ARRENDAMIENTO;;4732065;4652;2500000;2500000;15;150122;0;95000;0;EQUIPOS CODIFICADORES;2252234;12;972383;6479627;396979;1501;1796894;8069341;617331;8069341;24;5196443;4799464;0;ventas_otros;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4799464;0;4799464;4799464;0;2019;1
11548;VENTA AL POR MAYOR DE PINTURAS BARNIZ DISOLVENTES PARA USO INDUSTRIAL;;3381426;;1734877;5675712;15;150199;0;0;107125;PINTURAS Y BARNICES A BASE DE POLIESTERES;724929;2;40258;3341168;0;1501;1668834;3381426;0;3381426;10;7329812;7329812;0;ventas_catalogo;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2016;0
11550;VENTAS;VENTAS;6050602;4773;1061615;1061615;15;150199;0;1326485;11589;PLACA COLABORANTE ACERO DECK;3051400;12;902255;4845193;0;1501;1618771;6197861;450413;6197861;10;7783903;7783903;0;ventas_mostrador 2017;2;1;0;1;0;0;0;0;1;0;0;0;0;1;0;1556780.6;0;0;0;0;6227122.4;0;0;7783903;7783903;0;2017;0
11552;;;2554270;;4586076;4586076;15;150199;52050;;64230;;3047558;;1353961;5119116;0;1501;131217;11084124;4611047;11084124;64;8432278;8432278;0;ventas_mostrador;1;1;0;0;0;0;0;0;1;0;0;0;0;0;;0;;;;;;;;;;;2015;0
11554;VENTA Y REPARACION DE RELOJES IMPORTADOS;;5971871;4773;2769400;2769400;15;150199;0;0;0;RELOJES SWISS MILITARY;1076499;12;1924942;4361613;588841;1501;132;6286555;0;6286555;13;2916370;2327529;0;ventas_mostrador;1;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;2327529;0;0;2327529;2327529;0;2019;0
11559;MUEBLES PARA OFICINA;;4307661;4753;3000000;3000000;15;150199;0;0;17180;MUEBLES PARA OFICINA;3007385;12;310586;3507149;0;1501;0;4708481;890746;4708481;10;6492622;6492622;0;ventas_ecommerce;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;6492622;0;0;0;0;0;6492622;6492622;0;2019;0
11588;VENTA DE EQUIPOS PARA PROTECCION PERSONAL;VENTA DE EQUIPOS PARA PROTECCION PERSONAL;2239119;4659;1822595;1822595;15;150199;0;0;141892;EQUIPOS PARA PROTECCION PERSONAL;1065996;12;685392;1388523;3157;1501;-21367;2514611;440696;2514611;5;8223259;8220102;0;ventas_comisionistas 2017;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;8220102;0;0;0;0;0;0;0;8223259;8223259;0;2017;0
11689;VENTA DE  ARTICULOS DE FERRETERIA;;1102160;4752;392230;392230;15;150199;53106;3000;0;TUBOS PVC;476327;12;415063;704495;0;1501;0;1119558;0;1119558;5;2231508;2231508;0;ventas_mostrador;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2231508;0;0;2231508;2231508;0;2019;0
11717;;;3465097;;862288;862288;15;150199;0;;5990;;608260;;526900;3388340;0;1501;82340;3915240;0;3915240;4;8012082;8012082;0;ventas_mostrador;3;1;0;0;0;1;0;0;1;0;1;0;0;0;;0;;;;;;;;;;;2015;0
11773;;;2336943;;2790599;2790599;15;150199;0;;117768;;1584260;;165167;3145518;0;1501;343514;5235657;1924972;5235657;19;8700803;8700803;0;ventas_maquinas;2;1;0;0;0;0;0;1;1;0;0;0;0;0;;0;;;;;;;;;;;2015;1
11773;COMPRA Y VENTA DE COMBUSTIBLES;;1656016;4730;2790599;2790599;15;150199;0;0;0;GLP Y GASHOL 90;1381940;12;623928;3323035;0;1501;189078;4171253;224290;4171253;17;8467121;8467121;0;ventas_maquinas;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;8467121;0;0;0;8467121;8467121;0;2019;0
11796;COMERCIO;;3885149;4510;3632874;3632874;15;150199;;;0;VEHICULOS MENORES;391486;12;0;3262225;0;1501;3110631;5088326;1826101;5088326;8;4623464;4623464;0;ventas_mostrador;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;4623464;0;0;4623464;4623464;0;2019;0
