Model,Best Params,CV_F1,Train Accuracy,Train Precision,Train Recall,Train F1,Test Accuracy,Test Precision,Test Recall,Test F1,Eval Accuracy,Eval Precision,Eval Recall,Eval F1
XGBoost,"{'n_estimators': 71, 'learning_rate': 0.2690292641685694, 'max_depth': 9, 'random_state': 41}",0.9801895751173395,1.0,1.0,1.0,1.0,0.9788519637462235,0.9851301115241635,0.9888059701492538,0.9869646182495344,0.9789156626506024,0.9851851851851852,0.9888475836431226,0.987012987012987
LightGBM,"{'n_estimators': 296, 'learning_rate': 0.23191658794280817, 'num_leaves': 29, 'random_state': 41}",0.9809135856418052,1.0,1.0,1.0,1.0,0.9848942598187311,0.985239852398524,0.996268656716418,0.9907235621521335,0.9759036144578314,0.981549815498155,0.9888475836431226,0.9851851851851852
Decision Tree,"{'max_depth': 8, 'min_samples_split': 8, 'random_state': 41}",0.9687367686332709,0.9852472089314195,0.9810276679841897,0.9896331738437002,0.9853116315998413,0.972809667673716,0.9850187265917603,0.9813432835820896,0.983177570093458,0.9759036144578314,0.9887640449438202,0.9814126394052045,0.9850746268656716
Random Forest,"{'n_estimators': 99, 'max_depth': 13, 'random_state': 41}",0.9790581706531404,0.9968102073365231,0.993660855784469,1.0,0.9968203497615262,0.9848942598187311,0.9888475836431226,0.9925373134328358,0.9906890130353817,0.9728915662650602,0.9850746268656716,0.9814126394052045,0.9832402234636871
SVM,{'C': 9.946903425547996},0.9425409806031242,0.9732854864433812,0.955487336914812,0.992822966507177,0.9737974188502151,0.9486404833836858,0.9630996309963099,0.9738805970149254,0.9684601113172542,0.9337349397590361,0.9395017793594306,0.9814126394052045,0.96
Logistic Regression,{'C': 7.5845997793430975},0.9280262098181525,0.9302232854864434,0.9029126213592233,0.9641148325358851,0.9325106054762823,0.9516616314199395,0.9701492537313433,0.9701492537313433,0.9701492537313433,0.8975903614457831,0.9304029304029304,0.9442379182156134,0.9372693726937269
